token,count
我,25513
不,16279
一,13603
有,12324
个,9496
你,8921
这,8504
好,7380
没,7292
人,6651
就,6454
来,6269
么,5953
还,5784
要,5653
上,5132
可,5116
大,5045
看,5045
天,4812
学,4766
去,4765
吗,4764
都,4635
到,4532
以,4493
那,4454
点,4225
下,4145
们,3951
也,3871
哈,3826
能,3664
会,3593
时,3429
跑,3277
囊,3252
啊,3218
多,3145
说,3140
小,2944
他,2939
过,2888
打,2868
子,2700
后,2694
吃,2681
出,2523
想,2514
得,2461
吧,2370
什,2342
生,2335
群,2323
给,2321
里,2307
为,2304
自,2303
行,2223
家,2211
知,2200
开,2138
玩,2124
面,2117
发,2044
真,2006
很,1958
现,1956
高,1889
课,1885
怎,1880
道,1877
感,1877
只,1833
实,1828
对,1828
觉,1826
太,1789
长,1786
校,1701
啥,1694
前,1690
用,1679
分,1643
今,1625
三,1616
中,1609
之,1588
起,1588
加,1584
然,1582
全,1577
年,1529
动,1505
最,1495
新,1495
完,1493
手,1487
老,1485
机,1485
